School,District,Score,Avg. Score
Crescent Park,Dawson Creek,5.3,4.7
Edwin S Richards,Mission,5.3,4.7
K B Woodward,Surrey,5.3,3.8
Begbie View,Revelstoke,5.3,n/a
Champlain Heights,Vancouver,5.3,n/a
Lake Hill,Victoria,5.3,n/a
Maranatha Christian,Williams Lake,5.3,n/a
Nukko Lake,Prince George,5.3,n/a
Parkview,Sicamous,5.3,n/a
Pineview,Prince George,5.3,n/a
Summit,Kamloops,5.2,6.1
Brentwood,Brentwood Bay,5.2,6
Annieville,Delta,5.2,5.8
Sir Charles Kingsford-Smith,Vancouver,5.2,5.8
Cape Horn,Coquitlam,5.2,5.7
Woodward Hill,Surrey,5.2,5.6
F G Leary,Chilliwack,5.2,5.5
Pitt Meadows,Pitt Meadows,5.2,5.5
Quarterway,Nanaimo,5.2,5.4
150 Mile,150 Mile House,5.2,5.3
Jessie Lee,Surrey,5.2,5.3
Gibson,Delta,5.2,5.2
Tumbler Ridge,Tumbler Ridge,5.2,5.2
Hillside,Mission,5.2,5.1
Janice Churchill,Surrey,5.2,5
Lord Selkirk,Vancouver,5.2,5
Kay Bingham,Kamloops,5.2,4.9
Terry Fox,Abbotsford,5.2,4.9
Ellison,Vernon,5.2,4.6
W E Kinvig,Surrey,5.2,4
James Thomson,Powell River,5.2,n/a
Kinnaird,Castlegar,5.2,n/a
Logan Lake,Logan Lake,5.2,n/a
Springwood,Parksville,5.2,n/a
Bench,Cowichan Bay,5.1,6.8
Frank J Mitchell,Sparwood,5.1,6.5
R M Grauer,Richmond,5.1,5.5
Waverley,Vancouver,5.1,5.5
Mamquam,Garibaldi Highlands,5.1,5.3
